ID,Full Name,Gender,Parent,School,Branch,Class,Level,Section,Password,Date of Birth,Place of Birth,Photo,Academic Year,Roll No,Price,Registration Fee,Total,Status
270,Mahad Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2870,19.0,5.0,24.0,active
271,Najma Xasan Cabdi,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2871,19.0,5.0,24.0,active
266,Yuusuf Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2866,12.0,5.0,17.0,active
267,Hodan Maxamed Cali,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2867,12.0,5.0,17.0,active
268,Cabdiqadir Axmed Maxamed,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2868,12.0,5.0,17.0,active
264,Cabdiraxmaan Maxamed Nuur,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2864,5.0,5.0,10.0,active
265,Sahra Axmed Xasan,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2865,5.0,5.0,10.0,active
261,Sahra Cabdi Xasan,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2891,12.0,5.0,17.0,active
262,Abdullahi Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2862,5.0,5.0,10.0,active
263,Fadumo Cabdi Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2863,5.0,5.0,10.0,active
258,Xasan Axmed Maxamed,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2888,5.0,5.0,10.0,active
259,Fadumo Maxamed Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2889,5.0,5.0,10.0,active
260,Cabdiraxmaan Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2890,12.0,5.0,17.0,active
256,Cabdiqani Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2886,5.0,5.0,10.0,active
257,Nimco Cabdi Xasan,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2887,5.0,5.0,10.0,active
253,Rooda Maxamed Xasan,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2883,19.0,5.0,24.0,active
254,Ismaaciil Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2884,19.0,5.0,24.0,active
255,Haboon Axmed Cali,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2885,19.0,5.0,24.0,active
250,Cabdirashiid Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2880,12.0,5.0,17.0,active
251,Warsan Cabdi Cali,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2881,12.0,5.0,17.0,active
252,Cabdalla Axmed Maxamed,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2882,19.0,5.0,24.0,active
247,Farxiyo Cabdi Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2877,5.0,5.0,10.0,active
248,Maxamed Xasan Cabdi,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2878,12.0,5.0,17.0,active
249,Sucaad Axmed Xasan,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2879,12.0,5.0,17.0,active
245,Deeqo Cabdi Xasan,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2875,5.0,5.0,10.0,active
246,Cabdiwali Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2876,5.0,5.0,10.0,active
243,Hibo Axmed Cali,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2873,19.0,5.0,24.0,active
244,Cabdisalaan Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2874,5.0,5.0,10.0,active
240,Mahad Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2870,19.0,5.0,24.0,active
241,Najma Xasan Cabdi,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2871,19.0,5.0,24.0,active
242,Cabdikariim Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2872,19.0,5.0,24.0,active
238,Cabdiqadir Axmed Maxamed,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2868,12.0,5.0,17.0,active
239,Ayaan Xasan Cabdi,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2869,12.0,5.0,17.0,active
235,Sahra Axmed Xasan,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2865,5.0,5.0,10.0,active
236,Yuusuf Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2866,12.0,5.0,17.0,active
237,Hodan Maxamed Cali,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2867,12.0,5.0,17.0,active
232,Abdullahi Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2862,5.0,5.0,10.0,active
233,Fadumo Cabdi Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2863,5.0,5.0,10.0,active
234,Cabdiraxmaan Maxamed Nuur,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2864,5.0,5.0,10.0,active
229,Nimco Maxamed Xasan,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2799,5.0,5.0,10.0,active
230,Xasan Xasan Cali,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2800,5.0,5.0,10.0,active
231,Fadumo Maxamed Xasan,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2801,5.0,5.0,10.0,active
227,Haboon Maxamed Xasan,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2797,19.0,5.0,24.0,active
228,Cabdiqani Xasan Cali,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2798,5.0,5.0,10.0,active
224,Cabdalla Xasan Cali,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2794,19.0,5.0,24.0,active
225,Rooda Maxamed Xasan,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2795,19.0,5.0,24.0,active
226,Ismaaciil Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2796,19.0,5.0,24.0,active
221,Aamina Xasan Maxamed,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2791,12.0,5.0,17.0,active
222,Cabdirashiid Xasan Cali,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2792,12.0,5.0,17.0,active
223,Warsan Maxamed Xasan,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2793,12.0,5.0,17.0,active
218,Maxamed Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2788,5.0,5.0,10.0,active
219,Sucaad Xasan Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2789,5.0,5.0,10.0,active
220,Xasan Maxamed Cali,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2790,12.0,5.0,17.0,active
215,Naciimo Xasan Cali,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2785,19.0,5.0,24.0,active
216,Abdiwali Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2786,5.0,5.0,10.0,active
217,Farxiyo Xasan Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2787,5.0,5.0,10.0,active
213,Deeqo Xasan Maxamed,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2783,19.0,5.0,24.0,active
214,Saalax Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2784,19.0,5.0,24.0,active
210,Mustafe Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2780,12.0,5.0,17.0,active
211,Hibo Maxamed Xasan,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2781,12.0,5.0,17.0,active
212,Cabdisalaan Xasan Cali,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2782,19.0,5.0,24.0,active
207,Khadra Cabdi Xasan,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2777,5.0,5.0,10.0,active
208,Abdikariim Maxamed Cali,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2778,12.0,5.0,17.0,active
209,Luul Xasan Maxamed,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2779,12.0,5.0,17.0,active
205,Shamso Maxamed Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2775,5.0,5.0,10.0,active
206,Axmed Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2776,5.0,5.0,10.0,active
202,Yuusuf Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2772,19.0,5.0,24.0,active
203,Ifrah Maxamed Cali,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2773,19.0,5.0,24.0,active
204,Cabdifitaax Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2774,5.0,5.0,10.0,active
199,Ayaan Cabdi Xasan,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2769,12.0,5.0,17.0,active
200,Mahad Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2770,19.0,5.0,24.0,active
201,Najma Xasan Cali,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2771,19.0,5.0,24.0,active
197,Sahra Maxamed Cali,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2767,12.0,5.0,17.0,active
198,Ilyaas Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2768,12.0,5.0,17.0,active
195,Hodan Maxamed Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2765,5.0,5.0,10.0,active
196,Cabdiraxmaan Xasan Cali,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2766,12.0,5.0,17.0,active
192,Abdiqani Cabdi Nuur,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2762,5.0,5.0,10.0,active
193,Fartuun Xasan Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2763,5.0,5.0,10.0,active
194,Maxamed Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2764,5.0,5.0,10.0,active
189,Cabdiraxman Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2759,12.0,5.0,17.0,active
190,Sahra Xasan Cali,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2760,12.0,5.0,17.0,active
191,Yaxye Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2761,12.0,5.0,17.0,active
186,Nimco Xasan Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2756,5.0,5.0,10.0,active
187,Xasan Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2757,5.0,5.0,10.0,active
188,Fadumo Xasan Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2758,5.0,5.0,10.0,active
183,Ismaaciil Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2753,19.0,5.0,24.0,active
184,Haboon Xasan Cali,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2754,19.0,5.0,24.0,active
185,Cabdiqadir Xasan Xasan,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2755,5.0,5.0,10.0,active
180,Aamina Xasan Cali,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2750,12.0,5.0,17.0,active
181,Cabdalla Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2751,19.0,5.0,24.0,active
182,Rooda Xasan Cali,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2752,19.0,5.0,24.0,active
177,Cabdiqani Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2747,12.0,5.0,17.0,active
178,Hodan Xasan Maxamed,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2748,12.0,5.0,17.0,active
179,Maxamed Xasan Cali,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2749,12.0,5.0,17.0,active
174,Farxiya Xasan Maxamed,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2744,5.0,5.0,10.0,active
175,Axmed Xasan Xasan,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2745,5.0,5.0,10.0,active
176,Sucaad Xasan Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2746,5.0,5.0,10.0,active
171,Yuusuf Xasan Xasan,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2741,19.0,5.0,24.0,active
172,Hibo Xasan Maxamed,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2742,19.0,5.0,24.0,active
173,Cabdirahman Xasan Cali,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2743,5.0,5.0,10.0,active
168,Aamina Xasan Xasan,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2738,12.0,5.0,17.0,active
169,Cabdirisaaq Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2739,19.0,5.0,24.0,active
170,Najmo Xasan Cali,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2740,19.0,5.0,24.0,active
165,Cabdiraxman Xasan Xasan,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2735,12.0,5.0,17.0,active
166,Sahra Xasan Maxamed,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2736,12.0,5.0,17.0,active
167,Yaxye Xasan Cali,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2737,12.0,5.0,17.0,active
162,Nimco Xasan Maxamed,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2732,5.0,5.0,10.0,active
163,Xasan Xasan Cali,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2733,5.0,5.0,10.0,active
164,Fadumo Xasan Maxamed,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2734,5.0,5.0,10.0,active
160,Haboon Xasan Maxamed,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2730,19.0,5.0,24.0,active
161,Cabdiqani Xasan Cali,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2731,5.0,5.0,10.0,active
157,Cabdalla Xasan Cali,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2727,19.0,5.0,24.0,active
158,Rooda Xasan Maxamed,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2728,19.0,5.0,24.0,active
159,Ismaaciil Xasan Cali,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2729,19.0,5.0,24.0,active
154,Sucaad Xasan Maxamed,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2724,12.0,5.0,17.0,active
155,Cabdirashiid Xasan Cali,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2725,12.0,5.0,17.0,active
156,Warsan Xasan Maxamed,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2726,12.0,5.0,17.0,active
151,Cabdiwali Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2721,5.0,5.0,10.0,active
152,Farxiyo Xasan Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2722,5.0,5.0,10.0,active
153,Maxamed Xasan Xasan,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2723,12.0,5.0,17.0,active
148,Hibo Xasan Cali,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2718,19.0,5.0,24.0,active
149,Cabdisalaan Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2719,5.0,5.0,10.0,active
150,Deeqo Xasan Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2720,5.0,5.0,10.0,active
145,Mahad Xasan Cali,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2715,19.0,5.0,24.0,active
146,Najma Maxamed Xasan,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2716,19.0,5.0,24.0,active
147,Cabdikariim Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2717,19.0,5.0,24.0,active
142,Hodan Maxamed Xasan,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2712,12.0,5.0,17.0,active
143,Cabdiqadir Xasan Cali,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2713,12.0,5.0,17.0,active
144,Ayaan Maxamed Xasan,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2714,12.0,5.0,17.0,active
140,Sahra Cabdi Xasan,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2710,5.0,5.0,10.0,active
141,Yuusuf Xasan Cali,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2711,12.0,5.0,17.0,active
137,Abdullahi Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2707,5.0,5.0,10.0,active
138,Fadumo Maxamed Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2708,5.0,5.0,10.0,active
139,Cabdiraxmaan Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2709,5.0,5.0,10.0,active
134,Cabdirisaaq Xasan Cali,male,Ahmed Rashid,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2704,19.0,5.0,24.0,active
135,Najmo Cabdi Xasan,female,Caasho warfa,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2705,19.0,5.0,24.0,active
136,Yaxye Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2706,19.0,5.0,24.0,active
131,Hodan Xasan Cali,female,Caasho warfa,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2701,12.0,5.0,17.0,active
132,Maxamed Xasan Cali,male,Ahmed Rashid,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2702,12.0,5.0,17.0,active
